fragment_smiles,occurences,example_ligands
CC1CC(F)CN1,371,20:02000:0:Z4204491890;20:02000:4:Z4215047647;20:02000:6:Z4205059449;
c1nnc[nH]1,27078,20:02000:0:Z3181450538;20:02000:0:Z4282175765;20:02000:0:Z3153225299;
Cc1csc(C)n1,4686,20:02000:0:Z3186859372;20:02000:0:Z1266694001;20:02000:0:Z3616798994;
c1cncnc1,74419,20:02000:0:Z2861237848;20:02000:0:Z4214179867;20:02000:0:Z2506157819;
C1CC2(CC2)CO1,4346,20:02000:0:Z2860899269;20:02000:0:Z4142283819;20:02000:0:Z3849526172;
NC1CCCCCC1,98,20:02000:0:Z2377255876;20:02001:3:Z3496257218;20:02003:3:Z3831772451;
c1cnoc1,79965,20:02000:0:Z4213171763;20:02000:0:Z3609909471;20:02000:0:Z4372621123;
C1CCC2(CC1)CNC2,740,20:02000:0:Z4213171763;20:02000:0:Z4116213024;20:02000:0:Z1725900879;
Fc1ccccc1Cl,13229,20:02000:0:Z1254007257;20:02000:0:Z1994652849;20:02000:0:Z1601469964;
Cc1nc2ccccc2o1,1381,20:02000:0:Z4134205816;20:02000:2:Z1939559495;20:02000:2:Z2292707172;
Cc1csnn1,3269,20:02000:0:Z4134205816;20:02000:1:Z1821334311;20:02000:1:Z2602407742;
C1COCC2(C1)CCC2,1811,20:02000:0:Z3099393808;20:02000:0:Z4348708889;20:02000:0:Z4351029698;
Fc1cccc(Cl)c1,13112,20:02000:0:Z4445904190;20:02000:0:Z4093899136;20:02000:0:Z1157673586;
FC1(F)CC1,15701,20:02000:0:Z4445904190;20:02000:0:Z3889441605;20:02000:0:Z4009196250;
FC1CCCC1,8740,20:02000:0:Z3585875284;20:02000:0:Z4056091141;20:02000:0:Z3060363570;
c1ncon1,105842,20:02000:0:Z1274779264;20:02000:0:Z4254789733;20:02000:0:Z3623785588;
CC1NCCCNC1=O,870,20:02000:0:Z2395327277;20:02000:1:Z2966755038;20:02000:1:Z1825228036;
C1CC2COC(C1)C2,3224,20:02000:0:Z4005669997;20:02000:0:Z4261322073;20:02000:0:Z3382061922;
Cc1ncco1,8033,20:02000:0:Z2716635440;20:02000:0:Z2715996443;20:02000:0:Z4090257052;
OC1CNC1,10503,20:02000:0:Z2961364311;20:02000:0:Z3870516845;20:02000:0:Z2981320987;
N=S1(=O)CCCC1,1857,20:02000:0:Z3622567534;20:02000:0:Z3369803476;20:02000:1:Z3619715867;
CC1CCCCC1,20520,20:02000:0:Z2755555444;20:02000:0:Z4076559225;20:02000:0:Z4178268304;
c1ncc2sccc2n1,722,20:02000:0:Z1272563498;20:02000:0:Z390411046;20:02000:0:Z909662356;
CC1(C)CNC(C)(C)C1O,242,20:02000:0:Z3693821522;20:02000:3:Z4139667276;20:02000:3:Z4329031737;
Fc1ccc(Cl)cc1,4099,20:02000:0:Z3693821522;20:02000:0:Z2042549715;20:02000:1:Z4005045575;
CC12CCC(CC1)CN2,171,20:02000:0:Z3615298903;20:02000:5:Z3615288762;20:02001:6:Z3345549940;
CN1CCc2ncsc2C1,258,20:02000:0:Z5047048325;20:02000:7:Z1544637787;20:02001:0:Z5043772051;
C1OCC2CC12,5853,20:02000:0:Z2076397325;20:02000:0:Z2594349884;20:02000:0:Z2643236376;
Cc1ccnn1C,10089,20:02000:0:Z2206554852;20:02000:0:Z3607299503;20:02000:0:Z2378061094;
Cc1ccc(O)cc1,1499,20:02000:0:Z3642643966;20:02000:0:Z3623258388;20:02000:1:Z2182482144;
