fragment_smiles,occurences,example_ligands
Cn1ccc(Cl)c1,2962,84:08400:0:PV-006011827612;84:08400:0:PV-006011827613;84:08400:0:PV-006011827614;
OC1CCCC1,24788,84:08400:0:PV-006011828308;84:08400:0:PV-006011828309;84:08400:0:PV-006011829998;
C1CC2CCC1CO2,1582,84:08400:0:PV-006011828308;84:08400:0:PV-006011828309;84:08400:2:PV-003671910785;
c1c[nH]cn1,65263,84:08400:0:PV-006011828376;84:08400:0:PV-002952136289;84:08400:0:PV-002952136290;
c1cnccn1,21098,84:08400:0:PV-006011828431;84:08400:0:PV-006011836067;84:08400:0:PV-006011838024;
c1nc[nH]n1,125779,84:08400:0:PV-006011828445;84:08400:0:PV-003671843109;84:08400:0:PV-001980351683;
Cc1ccc2[nH]ncc2c1,647,84:08400:0:PV-006011829194;84:08400:1:PV-002952155516;84:08400:1:PV-003671899253;
C1CNC2CCNC2C1,2090,84:08400:0:PV-006011829377;84:08400:0:PV-003671876254;84:08400:2:PV-003671942421;
c1nnc[nH]1,17918,84:08400:0:PV-006011829506;84:08400:0:PV-003671848632;84:08400:0:PV-003671851119;
O=c1ccocc1O,123,84:08400:0:PV-006011829553;84:08400:0:PV-002952139873;84:08400:3:PV-002225993089;
C1CNCCNC1,18475,84:08400:0:PV-006011829670;84:08400:0:PV-003671844907;84:08400:0:PV-003671845680;
FC1(F)CCCOC1,937,84:08400:0:PV-006011829720;84:08400:0:PV-002952136833;84:08400:2:PV-002381250297;
CC1(C)OCCO1,1176,84:08400:0:PV-006011829728;84:08400:0:PV-006011829729;84:08400:0:PV-003671865472;
Cc1cocn1,10742,84:08400:0:PV-006011829843;84:08400:0:PV-003671843208;84:08400:0:PV-003671847967;
O=C1NCCC2CCNC=C12,3,84:08400:0:PV-006011829843;84:08436:7:PV-006049156538;84:08489:5:PV-003702477354;
Cc1ccns1,13794,84:08400:0:PV-006011829876;84:08400:0:PV-006011829877;84:08400:0:PV-003671847978;
O=c1[nH]cnc2ccccc12,1389,84:08400:0:PV-006011830375;84:08400:0:PV-002432989042;84:08400:0:PV-003671853823;
Cc1ncccc1N,1213,84:08400:0:PV-006011831002;84:08400:1:PV-002952154334;84:08400:1:PV-002952154335;
Cn1cncn1,13739,84:08400:0:PV-006011831062;84:08400:0:PV-003671842813;84:08400:0:PV-001971414375;
CC1(C)CC1,36100,84:08400:0:PV-006011831062;84:08400:0:PV-003671850823;84:08400:0:PV-003671856370;
c1cnc2[nH]ccc2c1,4105,84:08400:0:PV-006011831165;84:08400:0:PV-002952138006;84:08400:0:PV-003671855506;
c1ccnnc1,23232,84:08400:0:PV-006011831165;84:08400:0:PV-006011831221;84:08400:0:PV-006011831222;
Cn1ccnc1,32183,84:08400:0:PV-006011831182;84:08400:0:PV-003671844197;84:08400:0:PV-003671844198;
Fc1cccc(Cl)c1,12014,84:08400:0:PV-006011831990;84:08400:0:PV-006011837106;84:08400:0:PV-003671842993;
OC1COC1,7104,84:08400:0:PV-006011832031;84:08400:0:PV-002952141251;84:08400:0:PV-002952141252;
c1ccc2c(c1)CCCN2,2883,84:08400:0:PV-006011832119;84:08400:0:PV-006011846541;84:08400:0:PV-002952142942;
Clc1cccc2c1OCCNC2,126,84:08400:0:PV-006011832307;84:08400:1:PV-006011965749;84:08400:3:PV-006012155059;
c1cc2c(cn1)OCCO2,372,84:08400:0:PV-006011832307;84:08400:0:PV-002381246986;84:08400:1:PV-006011929215;
Cc1[nH]ncc1F,2388,84:08400:0:PV-006011832447;84:08400:0:PV-006011832448;84:08400:0:PV-003671851061;
Cn1cccn1,77429,84:08400:0:PV-006011832447;84:08400:0:PV-006011832448;84:08400:0:PV-006011839364;
Cc1nnc2ccccn12,676,84:08400:0:PV-006011832492;84:08400:1:PV-003671888773;84:08400:1:PV-006011942137;
c1ccc2ncccc2c1,10428,84:08400:0:PV-006011832751;84:08400:0:PV-002952140675;84:08400:0:PV-003671858357;
CC1(C)CCCOC1,3145,84:08400:0:PV-006011832951;84:08400:0:PV-006011832952;84:08400:0:PV-006011847672;
Cc1ccc(=O)[nH]c1,337,84:08400:0:PV-006011834435;84:08400:0:PV-001915019731;84:08400:2:PV-006012017052;
Oc1nccc2[nH]ncc12,107,84:08400:0:PV-006011834635;84:08400:9:PV-003672160927;84:08401:7:PV-003672460650;
c1nn[nH]n1,16217,84:08400:0:PV-006011834663;84:08400:0:PV-006011841235;84:08400:0:PV-003671843848;
Cc1cc(N)on1,1021,84:08400:0:PV-006011834676;84:08400:1:PV-002952156403;84:08400:1:PV-003671897226;
Fc1cnc2c(c1)OCCN2,102,84:08400:0:PV-006011835109;84:08401:3:PV-006013176028;84:08401:5:PV-006013262576;
Cc1ccoc1,29432,84:08400:0:PV-006011835321;84:08400:0:PV-006011835322;84:08400:0:PV-003671844172;
Cn1nccn1,5337,84:08400:0:PV-006011835321;84:08400:0:PV-006011835322;84:08400:0:PV-003671846068;
Cn1cc(Cl)cn1,8018,84:08400:0:PV-006011835379;84:08400:0:PV-003671851779;84:08400:0:PV-003671851780;
Cc1ccc2cccnc2c1,747,84:08400:0:PV-006011835437;84:08400:2:PV-002588241170;84:08400:5:PV-003672015143;
Clc1ccc2c(c1)NCC2,172,84:08400:0:PV-006011835566;84:08400:3:PV-003671962061;84:08401:0:PV-003672215935;
CC1(C)OC2CNCC2O1,67,84:08400:0:PV-006011836333;84:08400:7:PV-006012552739;84:08401:5:PV-006013408008;
CC1CCCC1,19823,84:08400:0:PV-006011836589;84:08400:0:PV-003671847436;84:08400:0:PV-001709861048;
c1ccc2scnc2c1,5007,84:08400:0:PV-006011837106;84:08400:0:PV-002277737644;84:08400:0:PV-003671852691;
