fragment_smiles,occurences,example_ligands
CC1(C)CCCCN1,1458,197:19700:0:Z4591704703;197:19700:0:Z5017636179;197:19700:0:Z3893176962;
c1ncn2c1CNCC2,1324,197:19700:0:Z4394772682;197:19700:0:Z2952137148;197:19700:0:Z4429575783;
CC1CS(=O)(=O)CCCN1,197,197:19700:0:Z2963592851;197:19700:8:Z2963594154;197:19701:6:Z2955156406;
Fc1ccccc1F,29965,197:19700:0:Z3582897340;197:19700:0:Z4026529116;197:19700:0:Z2405334489;
O=S1(=O)CCCC1,19241,197:19700:0:Z3582897340;197:19700:0:Z1886954432;197:19700:0:Z1196510878;
c1ccc2nccnc2c1,3571,197:19700:0:Z3179277169;197:19700:0:Z1843975988;197:19700:0:Z368579232;
FC1(F)CCC1,11125,197:19700:0:Z4319382472;197:19700:0:Z4261887609;197:19700:0:Z4575104856;
C1CCCNCC1,30402,197:19700:0:Z3795330132;197:19700:0:Z2100124016;197:19700:0:Z2170424603;
CC1(C)CNCc2ccccc2O1,350,197:19700:0:Z2150041910;197:19700:2:Z3052695932;197:19700:4:Z2373751652;
Cc1ccc(C)cc1,9226,197:19700:0:Z3144386083;197:19700:0:Z2169299405;197:19700:0:Z3627727369;
C1CC2(C1)CCNC2,5662,197:19700:0:Z3144386083;197:19700:0:Z3708768321;197:19700:0:Z5004245004;
Fc1ccc2c(c1)CCCO2,1378,197:19700:0:Z1167319609;197:19700:1:Z3950705984;197:19700:1:Z2185555054;
c1n[nH]c2c1COCC2,1065,197:19700:0:Z3010880318;197:19700:0:Z3600687694;197:19700:1:Z2956839973;
Cc1sc2ncncc2c1C,993,197:19700:0:Z1725265660;197:19700:1:Z4135424187;197:19700:1:Z1253424819;
O=C1CCCCN1,41825,197:19700:0:Z4398386095;197:19700:0:Z1922166895;197:19700:0:Z2027069824;
c1c[nH]nn1,92378,197:19700:0:Z4398386095;197:19700:0:Z4188488415;197:19700:0:Z2163953673;
Clc1cccc2c1CCCCN2,34,197:19700:0:Z1886954432;197:19700:3:Z1886953411;197:19703:0:Z4114676812;
CC1CCNC1,23290,197:19700:0:Z4577230757;197:19700:0:Z3836169683;197:19700:0:Z4930749431;
Cc1nccs1,13780,197:19700:0:Z3714589460;197:19700:0:Z1040358176;197:19700:0:Z3655100127;
C1CC2(C1)CCC2,11709,197:19700:0:Z3714589460;197:19700:0:Z3595390240;197:19700:0:Z4344628379;
Cc1cc(C)n(C)n1,9943,197:19700:0:Z2691719970;197:19700:0:Z1411208742;197:19700:0:Z1644025816;
c1nc2c([nH]1)CCCC2,2641,197:19700:0:Z2691719970;197:19700:1:Z4112227823;197:19700:2:Z4420887954;
Cn1ccccc1=O,4440,197:19700:0:Z4188488415;197:19700:0:Z2070747846;197:19700:0:Z1277987058;
C1CN2CCC1CC2,329,197:19700:0:Z1274249354;197:19700:0:Z3584668193;197:19700:1:Z5064726798;
CC1CNCC(C)O1,9952,197:19700:0:Z1172752221;197:19700:0:Z4575104856;197:19700:0:Z4135861961;
c1cnc2nncn2c1,685,197:19700:0:Z4436129291;197:19700:0:Z1773631475;197:19700:1:Z2928806220;
C1CSCCN1,11997,197:19700:0:Z1360467459;197:19700:0:Z1306348006;197:19700:0:Z4173998338;
C1COC2(CCSCC2)CN1,341,197:19700:0:Z3175765215;197:19700:2:Z3860869833;197:19700:4:Z3175710009;
C1CNCC2(C1)CC2,1145,197:19700:0:Z3775159602;197:19700:1:Z3625227145;197:19700:2:Z2494238021;
O=S1(=O)CCc2ncsc2C1,139,197:19700:0:Z4008784262;197:19700:1:Z2361550308;197:19701:3:Z2335379245;
OC1CCNCC1,25906,197:19700:0:Z2120702426;197:19700:0:Z3741218938;197:19700:0:Z2774804623;
O=S1(=O)CCc2[nH]ncc2C1,103,197:19700:0:Z5043264147;197:19701:5:Z5055085203;197:19702:7:Z5044132667;
Cc1cnn2cccnc12,402,197:19700:0:Z3624649527;197:19700:1:Z3353143671;197:19700:5:Z3352213938;
c1nn2cncc2s1,71,197:19700:0:Z3830402503;197:19700:0:Z3829255098;197:19705:6:Z3829063646;
CN1CNCC1=O,334,197:19700:0:Z1670985683;197:19700:1:Z4193414531;197:19700:3:Z3852475530;
Cc1cccnc1,21447,197:19700:0:Z1912499443;197:19700:0:Z1665021769;197:19700:0:Z2299459026;
CC1CC2CCC(C1)S2,204,197:19700:0:Z3048955718;197:19701:4:Z3051550176;197:19701:5:Z4150379272;
OC1Cc2cc(Cl)cc(Cl)c2C1,147,197:19700:0:Z1883746422;197:19700:0:Z2310598864;197:19700:4:Z2118534069;
c1ccc2c(c1)CCN2,27595,197:19700:0:Z1672910738;197:19700:0:Z3310108370;197:19700:0:Z952618918;
CC1(C)CNCCO1,6490,197:19700:0:Z4096064027;197:19700:0:Z4096084224;197:19700:0:Z2063065189;
OC1CCCCC1,14269,197:19700:0:Z1306348006;197:19700:0:Z4173998338;197:19700:0:Z1866673882;
c1cc2n(n1)CCCN2,1971,197:19700:0:Z3712141931;197:19700:0:Z3712460961;197:19700:0:Z4246323626;
CC1(C)CCCC(=O)C1,262,197:19700:0:Z5000833843;197:19700:0:Z5001095910;197:19700:3:Z5001430527;
CC1(C)CCc2scnc21,110,197:19700:0:Z2372446746;197:19700:5:Z2371667567;197:19701:0:Z2371438255;
Cc1cn[nH]c1,15579,197:19700:0:Z2312497284;197:19700:0:Z1902687504;197:19700:0:Z2180508921;
C1COC2(C1)CCC2,2929,197:19700:0:Z3837261241;197:19700:0:Z4934503391;197:19700:0:Z3785047671;
Cc1cc(C)ncn1,5875,197:19700:0:Z5053231105;197:19700:0:Z981439658;197:19700:0:Z1545400197;
C1CC2(CCN1)CC2,5839,197:19700:0:Z5053231105;197:19700:0:Z2774130226;197:19700:0:Z1560654391;
c1ccc2c(c1)OCO2,18918,197:19700:0:Z1908222482;197:19700:0:Z1305782680;197:19700:0:Z995671986;
O=C1CNc2ccccc2N1,1863,197:19700:0:Z2100124016;197:19700:1:Z1960840472;197:19700:1:Z3010375988;
c1ccc2[nH]ncc2c1,10027,197:19700:0:Z4308782213;197:19700:0:Z3088169887;197:19700:0:Z1319410656;
Cc1cc2[nH]c(=O)ccn2n1,305,197:19700:0:Z3584706125;197:19700:0:Z3585072902;197:19700:5:Z1129447098;
c1ccc2c(c1)CCCC2,15211,197:19700:0:Z3700690077;197:19700:0:Z1866673882;197:19700:0:Z1866640588;
CC1(C)Cc2ccccc2O1,2258,197:19700:0:Z5064416999;197:19700:0:Z2212164917;197:19700:0:Z4152837132;
c1cc2c(s1)CCCC2,2233,197:19700:0:Z1907009770;197:19700:0:Z1511573677;197:19700:0:Z2217597426;
