fragment_smiles,occurences,example_ligands
C1CCN2CCNCC2C1,385,0:00000:0:Z1647478992;0:00000:0:Z4318228641;0:00000:0:Z4318228646;
CC1(C)CCCCC1,5321,0:00000:0:Z3624007668;0:00000:0:Z4623058518;0:00000:0:Z4492365188;
Oc1cccnc1,4079,0:00000:0:Z2501443512;0:00000:0:Z3296314340;0:00000:0:Z3299368597;
c1ncc2ncsc2n1,786,0:00000:0:Z4336217701;0:00000:4:Z4185002855;0:00000:5:Z4336220159;
CC1CNCCS1(=O)=O,1375,0:00000:0:Z2364244145;0:00000:0:Z2782120096;0:00000:0:Z2783724692;
C1COCCO1,9731,0:00000:0:Z1823844725;0:00000:0:Z3649486781;0:00000:0:Z3094454714;
Cc1cnoc1C,477,0:00000:0:Z3294614941;0:00000:0:Z3829984101;0:00000:5:Z3595458559;
Oc1ccccc1,26094,0:00000:0:Z2794250477;0:00000:0:Z4292126280;0:00000:0:Z2917755530;
c1cc2c(s1)CCNC2,1773,0:00000:0:Z2794250477;0:00000:1:Z4471742009;0:00000:3:Z4471750054;
CC1CCc2n[nH]cc2C1,278,0:00000:0:Z2862231768;0:00000:0:Z2841838626;0:00000:5:Z4219724292;
c1nnco1,23679,0:00000:0:Z2558278532;0:00000:0:Z3345277730;0:00000:0:Z3497413258;
c1ccc2c(c1)CCCO2,4109,0:00000:0:Z4477710814;0:00000:0:Z2377261906;0:00000:0:Z2377261904;
