fragment_smiles,occurences,example_ligands
Oc1nnc[nH]1,234,28:02800:0:Z1892302034;28:02800:3:Z1892289974;28:02800:6:Z5057818331;
NC1CNCCC1F,481,28:02800:0:Z4122309953;28:02800:1:Z3383205736;28:02800:8:Z4054601556;
C1CNCC2(CC2)CN1,355,28:02800:0:Z5060668152;28:02800:5:Z5057778579;28:02801:5:Z5060662896;
Cc1cscn1,29088,28:02800:0:Z3668700166;28:02800:0:Z2500279209;28:02800:0:Z4005533170;
Cc1cccs1,19159,28:02800:0:Z3622186404;28:02800:0:Z2843015920;28:02800:0:Z3217563692;
FC1CC12CCC2,2349,28:02800:0:Z3570622981;28:02800:0:Z3880623834;28:02800:0:Z3646340716;
C1CCC2(C1)CNC2,1543,28:02800:0:Z2657079975;28:02800:1:Z1748489380;28:02800:1:Z4116869431;
FC1(F)CCCCC1,9687,28:02800:0:Z1537125917;28:02800:0:Z1538282082;28:02800:0:Z4057437142;
c1nnn[nH]1,18614,28:02800:0:Z2700758346;28:02800:0:Z3367691126;28:02800:0:Z3168334535;
C1CC2COCC2C1,1780,28:02800:0:Z2836508738;28:02800:0:Z3871860637;28:02800:0:Z3872707114;
c1ccc2c(c1)CNC2,3278,28:02800:0:Z2836508738;28:02800:0:Z4116988282;28:02800:0:Z4264217199;
OC1CCC2CC1CN2,373,28:02800:0:Z2967088998;28:02800:1:Z2967082473;28:02800:1:Z2974350511;
OC1COC1,2370,28:02800:0:Z4602718289;28:02800:0:Z4212867655;28:02800:1:Z3857109214;
Cn1c(=O)[nH]c2ccccc21,488,28:02800:0:Z4216501885;28:02800:6:Z2642999783;28:02801:0:Z3499481100;
OC1CNC1,10444,28:02800:0:Z4216501885;28:02800:0:Z3775760722;28:02800:0:Z4922287519;
Cc1csc2cc[nH]c12,153,28:02800:0:Z4022660936;28:02801:3:Z4023143712;28:02801:4:Z4007013022;
OC1CCC1,28569,28:02800:0:Z2480735503;28:02800:0:Z4046374020;28:02800:0:Z2634237762;
CC1CCCOC1,6729,28:02800:0:Z1884891387;28:02800:0:Z1881678753;28:02800:0:Z2932419063;
O=C1CCNC(=O)N1,3538,28:02800:0:Z3535615852;28:02800:0:Z3535408443;28:02800:0:Z3531923058;
NC1CCC1,15829,28:02800:0:Z4206484967;28:02800:0:Z4206006628;28:02800:0:Z2606725007;
CC1COCCN1,8019,28:02800:0:Z4206484967;28:02800:0:Z3878474361;28:02800:0:Z3613051413;
Cn1cnc2cccnc21,516,28:02800:0:Z3609423699;28:02800:3:Z1724936775;28:02800:4:Z2932747619;
CC1(C)CNCCS1(=O)=O,414,28:02800:0:Z2603147453;28:02800:0:Z2293815238;28:02800:0:Z2184395549;
C1CC2CCC2N1,2733,28:02800:0:Z2873488223;28:02800:0:Z2873676531;28:02800:0:Z2873754360;
c1cn2ccnc2cn1,1392,28:02800:0:Z3339356374;28:02800:0:Z3138309363;28:02800:0:Z1314947565;
