fragment_smiles,occurences,example_ligands
Clc1ccc2[nH]cc(Cl)c2c1,115,62:06200:0:Z4091152513;62:06200:6:Z3663662894;62:06201:6:Z3805449740;
Fc1ccc(F)c2c1CCCO2,457,62:06200:0:Z2184332706;62:06200:0:Z2184302292;62:06200:1:Z2187606156;
FC1(F)CCC2(CCOC2)CC1,212,62:06200:0:Z4575091774;62:06200:3:Z4638844142;62:06200:3:Z4638844210;
CC1CNCCC1=O,325,62:06200:0:Z4132099246;62:06200:0:Z2917628150;62:06200:3:Z1752232481;
NC1CCCCC1,6312,62:06200:0:Z3511270927;62:06200:0:Z2846944142;62:06200:0:Z3701323530;
CC1CCCCN1,14751,62:06200:0:Z1802063104;62:06200:0:Z4575624954;62:06200:0:Z2784442103;
C1CC2(CNC2)N1,344,62:06200:0:Z4028636337;62:06200:7:Z3645911542;62:06200:7:Z3553458640;
CC1CNCCN1,12186,62:06200:0:Z3626054078;62:06200:0:Z2801169832;62:06200:0:Z2801169497;
NC1CCCC2CNCC12,246,62:06200:0:Z2394097274;62:06200:1:Z3808009008;62:06200:7:Z3104205847;
Cc1n[nH]c(=O)o1,336,62:06200:0:Z2917491182;62:06200:5:Z4472084963;62:06200:8:Z2862294168;
C1CC2SCCSC2C1,336,62:06200:0:Z2917491182;62:06200:4:Z1542259184;62:06201:4:Z1543841078;
CC1CCCNS1(=O)=O,383,62:06200:0:Z3368673454;62:06200:1:Z3383863580;62:06200:3:Z3634135642;
c1nnc[nH]1,41741,62:06200:0:Z2712168883;62:06200:0:Z1231981180;62:06200:0:Z3359698642;
C1CSCCN1,10690,62:06200:0:Z3044307993;62:06200:0:Z3297624505;62:06200:0:Z1185656574;
Clc1cc[nH]c1,606,62:06200:0:Z2915081848;62:06200:2:Z2925700584;62:06200:4:Z3380867859;
C1CC2(CCO1)CNC2,2060,62:06200:0:Z2915081848;62:06200:0:Z2306198959;62:06200:0:Z3386268355;
c1ccc2c(c1)CCCO2,10635,62:06200:0:Z4984881067;62:06200:0:Z3911724694;62:06200:0:Z3353688879;
O=C1CCC2(CCNCC2)N1,347,62:06200:0:Z4277434640;62:06200:0:Z3568191194;62:06200:1:Z3607214907;
CC1CCC(O)CC1,1569,62:06200:0:Z4277332868;62:06200:0:Z4081087348;62:06200:1:Z2861326568;
C1CCC2(C1)CCCO2,2195,62:06200:0:Z4277332868;62:06200:0:Z3135237158;62:06200:0:Z2859522166;
Nc1ncc2c(n1)CNCC2,185,62:06200:0:Z2691480091;62:06200:8:Z2691663955;62:06201:4:Z2691664141;
C1COC2(C1)CCNCC2,1841,62:06200:0:Z3384264084;62:06200:1:Z3639152193;62:06200:1:Z3797355405;
Cc1ncno1,6497,62:06200:0:Z1353232135;62:06200:0:Z1222466889;62:06200:0:Z2207514494;
Cc1ccco1,22557,62:06200:0:Z2228260367;62:06200:0:Z4277744370;62:06200:0:Z2637428082;
c1c[nH]cn1,71384,62:06200:0:Z1938231405;62:06200:0:Z3057459552;62:06200:0:Z4096908299;
C1OC2CC1C2,5914,62:06200:0:Z3783400467;62:06200:0:Z4390050500;62:06200:0:Z4603051733;
