fragment_smiles,occurences,example_ligands
Fc1cc2nc[nH]c2cc1F,489,56:05600:0:Z4906845596;56:05600:0:Z4352036626;56:05600:3:Z1204631095;
Clc1cccnc1,20976,56:05600:0:Z4227557099;56:05600:0:Z2957384711;56:05600:0:Z3876290464;
C1CC2CCOC2C1,3127,56:05600:0:Z3606504859;56:05600:0:Z2846986043;56:05600:0:Z2931679227;
c1ccc2c(c1)OCCCO2,3224,56:05600:0:Z3606504859;56:05600:0:Z4491961775;56:05600:0:Z3622417495;
C1COCC2(C1)CCC2,2132,56:05600:0:Z4600034610;56:05600:0:Z4351572837;56:05600:1:Z4349739871;
CC1CCC=CO1,36,56:05600:0:Z3169780725;56:05605:4:Z3094591232;56:05607:6:Z3308379950;
Clc1cscn1,2971,56:05600:0:Z3817298682;56:05600:0:Z2691121833;56:05600:0:Z4158064880;
c1cnc2scnc2c1,1238,56:05600:0:Z4006732125;56:05600:0:Z3603786567;56:05600:4:Z2884718957;
Cn1ncc2c1CNCC2,769,56:05600:0:Z4004206210;56:05600:1:Z4031171784;56:05600:2:Z3587334268;
CC1CCCN1,19570,56:05600:0:Z4004206210;56:05600:0:Z3520429544;56:05600:0:Z4069775923;
FC1(F)CC12CCCCC2,1881,56:05600:0:Z3184700346;56:05600:0:Z2495624005;56:05600:1:Z3782154720;
Cc1ncc[nH]1,8753,56:05600:0:Z1558957645;56:05600:0:Z1276176419;56:05600:0:Z4022764960;
CC1(C)CNC1,4626,56:05600:0:Z3099747161;56:05600:0:Z1948748489;56:05600:0:Z4208291532;
CC1CCOC1,6706,56:05600:0:Z4024883089;56:05600:0:Z3621603726;56:05600:0:Z2878479617;
Clc1ccc2c(c1)OCCO2,1132,56:05600:0:Z2016350731;56:05600:0:Z5045484467;56:05600:1:Z3494217470;
Cn1ncc2ccccc21,3187,56:05600:0:Z1396667922;56:05600:0:Z1677547518;56:05600:0:Z3093262565;
CC1(C)OCCO1,4656,56:05600:0:Z4469167507;56:05600:0:Z4468857124;56:05600:0:Z1418765024;
FC1CCNCC1,3893,56:05600:0:Z3520428288;56:05600:0:Z4150564311;56:05600:0:Z1985331877;
