fragment_smiles,occurences,example_ligands
Cc1nccn1C,3215,510:51000:0:Z2100053406;510:51000:1:Z1250726328;510:51000:1:Z1007454608;
Cc1ccc(C)nn1,296,510:51000:0:Z3098686100;510:51000:0:Z3135596859;510:51000:4:Z2207553679;
Cc1cc(F)cc2[nH]ccc12,173,510:51000:0:Z1220059080;510:51001:4:Z1221578667;510:51001:5:Z1220338287;
Cc1cn[nH]c1,19390,510:51000:0:Z2110178243;510:51000:0:Z2175378521;510:51000:0:Z1904417025;
C1CC2(CCN1)CC2,5165,510:51000:0:Z2205343665;510:51000:0:Z1277059602;510:51000:0:Z1576024183;
C1CNCCOC1,4357,510:51000:0:Z3693128677;510:51000:0:Z3722165966;510:51000:0:Z1940265114;
O=S1(=O)CCC(O)C1,231,510:51000:0:Z1505359865;510:51000:3:Z1553876566;510:51001:1:Z1821147361;
O=C1CCc2cccc3c2N1CCC3,439,510:51000:0:Z3277833969;510:51000:0:Z3277848393;510:51000:5:Z1673577007;
c1nn[nH]n1,18330,510:51000:0:Z4414198714;510:51000:0:Z4510180444;510:51000:0:Z3724006594;
CC1CNCC(C)C1,7396,510:51000:0:Z1165801561;510:51000:0:Z1156878865;510:51000:0:Z119763186;
Cc1nccs1,9658,510:51000:0:Z363532312;510:51000:0:Z1192939660;510:51000:0:Z1151846748;
O=c1[nH]c(=O)c2ccccc2[nH]1,6213,510:51000:0:Z356160586;510:51000:0:Z1503939549;510:51000:0:Z3290205404;
Cc1cc(C)n2nnnc2n1,881,510:51000:0:Z1460716368;510:51000:1:Z1464325506;510:51000:3:Z1463770671;
O=c1[nH]ncn2nccc12,410,510:51000:0:Z2045097706;510:51000:6:Z1265589866;510:51000:6:Z1480762331;
C1CC2CCC(C1)N2,6915,510:51000:0:Z2097504557;510:51000:0:Z4461108729;510:51000:0:Z4436069731;
Clc1ccc2[nH]cnc2c1,528,510:51000:0:Z1182421591;510:51000:1:Z1120882522;510:51000:2:Z1182420230;
Cn1ncc2c1CCNC2,815,510:51000:0:Z3144887233;510:51000:1:Z4042800562;510:51000:1:Z3414877695;
O=C1NCc2ccccc21,4456,510:51000:0:Z1140048757;510:51000:0:Z1862613295;510:51000:1:Z2905364263;
