fragment_smiles,occurences,example_ligands
Cc1ccsn1,18512,69:06900:0:PV-002753056091;69:06900:0:PV-004486490822;69:06900:0:PV-003158272239;
Cc1nc2cccnc2s1,171,69:06900:0:PV-002753056095;69:06900:1:PV-004486668829;69:06900:1:PV-004486668830;
Cc1ncon1,2158,69:06900:0:PV-003158270625;69:06900:0:PV-004486584594;69:06900:1:PV-003158302804;
C1COCC2(C1)CCC2,931,69:06900:0:PV-003158270632;69:06900:0:PV-002091761401;69:06900:3:PV-002195259209;
Cc1cocn1,10625,69:06900:0:PV-002753056120;69:06900:0:PV-004486468691;69:06900:0:PV-004486564190;
C1CNC2(C1)CCNC2,2321,69:06900:0:PV-002753056120;69:06900:0:PV-002753062331;69:06900:1:PV-002753071631;
C1COCO1,13096,69:06900:0:PV-003158270688;69:06900:0:PV-002753056458;69:06900:0:PV-004486513878;
CC1CNC(C)(C)C1,880,69:06900:0:PV-003158270732;69:06900:0:PV-003158274847;69:06900:0:PV-002753062943;
FC1CCNCC1,15688,69:06900:0:PV-002753056133;69:06900:0:PV-004486475155;69:06900:0:PV-004486475156;
c1ccn2cnnc2c1,3420,69:06900:0:PV-003158270810;69:06900:0:PV-002753056317;69:06900:0:PV-002753056763;
CC1CCCO1,22784,69:06900:0:PV-003158270821;69:06900:0:PV-003158270822;69:06900:0:PV-004486508097;
c1c[nH]cn1,65560,69:06900:0:PV-002557505331;69:06900:0:PV-004486460711;69:06900:0:PV-004486477156;
O=c1[nH]ccs1,12335,69:06900:0:PV-003158270846;69:06900:0:PV-004486501914;69:06900:0:PV-003158279836;
C1=CSCC1,13542,69:06900:0:PV-003158270846;69:06900:0:PV-003158273688;69:06900:0:PV-003158279508;
OC1CNC1,33827,69:06900:0:PV-003158270864;69:06900:0:PV-002753056370;69:06900:0:PV-003158271526;
CC1CCNCC1,25954,69:06900:0:PV-002753056211;69:06900:0:PV-004486464232;69:06900:0:PV-004486464233;
c1cnc2[nH]ncc2c1,2605,69:06900:0:PV-002753056211;69:06900:0:PV-003158279635;69:06900:0:PV-003158282526;
Cc1ncn[nH]1,5429,69:06900:0:PV-002753056213;69:06900:0:PV-004486514043;69:06900:0:PV-004486514044;
Clc1csc2ccccc12,353,69:06900:0:PV-002753056225;69:06900:1:PV-003158324837;69:06900:3:PV-003158381729;
Oc1ccccn1,6031,69:06900:0:PV-003158270948;69:06900:0:PV-002753056547;69:06900:0:PV-004486516624;
Nc1cccnn1,1416,69:06900:0:PV-003158270993;69:06900:0:PV-004486591628;69:06900:0:PV-004486591629;
CN1CCNCC1,7755,69:06900:0:PV-002753056256;69:06900:0:PV-003158272226;69:06900:0:PV-002753060243;
Cc1nc[nH]n1,9814,69:06900:0:PV-003158271029;69:06900:0:PV-004486516058;69:06900:0:PV-004486529152;
c1cc2c(s1)CCCC2,1472,69:06900:0:PV-003158271029;69:06900:1:PV-002753070162;69:06900:3:PV-003158376312;
c1ccc2cnccc2c1,6231,69:06900:0:PV-002402258818;69:06900:0:PV-002557506931;69:06900:1:PV-002143510071;
CC1CNC(=O)C1,2070,69:06900:0:PV-003158271065;69:06900:0:PV-003158271066;69:06900:0:PV-003158271067;
c1cn2ccsc2n1,3827,69:06900:0:PV-002753056282;69:06900:1:PV-003158305177;69:06900:1:PV-003158305178;
CC1CCn2nccc2C1,144,69:06900:0:PV-001982152245;69:06900:3:PV-002143513984;69:06900:9:PV-001986907007;
c1ccc2[nH]ncc2c1,6201,69:06900:0:PV-002753056317;69:06900:0:PV-004486468717;69:06900:0:PV-004486509028;
O=c1ccnc[nH]1,2949,69:06900:0:PV-002753056322;69:06900:0:PV-002505757496;69:06900:0:PV-003158280680;
Cc1ccon1,22233,69:06900:0:PV-003158271163;69:06900:0:PV-004486468323;69:06900:0:PV-004486468324;
C1CNC2CCCC2C1,910,69:06900:0:PV-002753056328;69:06900:0:PV-004486524087;69:06900:1:PV-002753074790;
