fragment_smiles,occurences,example_ligands
Cc1n[nH]c2ccncc12,289,49:04900:0:Z4123667341;49:04900:2:Z4228761439;49:04900:2:Z4124152771;
c1cc2c(o1)CCCNC2,543,49:04900:0:Z4123667341;49:04900:1:Z3380853642;49:04900:1:Z3522194762;
CC1(C)CCC1,10102,49:04900:0:Z2851691477;49:04900:0:Z3807589337;49:04900:0:Z4770680701;
FC1COc2ccccc2C1,275,49:04900:0:Z2922182689;49:04900:0:Z2922916264;49:04900:0:Z3559581130;
FC1(F)CCC1,13859,49:04900:0:Z4205216386;49:04900:0:Z3860510144;49:04900:0:Z2057710926;
OC1CCCCC1,18243,49:04900:0:Z4325396001;49:04900:0:Z4285289388;49:04900:0:Z4325375351;
Cc1cnc2ncccc2n1,92,49:04900:0:Z3391977561;49:04900:1:Z3390351954;49:04903:8:Z4641809586;
Cn1cc2c(n1)CCS(=O)(=O)C2,98,49:04900:0:Z2916265614;49:04900:0:Z2911680209;49:04900:5:Z2909715708;
C1NCC2CC1O2,58,49:04900:0:Z2932553578;49:04901:2:Z2932553220;49:04904:3:Z2932557737;
c1ncc2c(n1)CCNC2,2323,49:04900:0:Z3604518803;49:04900:0:Z2781421383;49:04900:0:Z4193979628;
CC1(C)NCCC1O,349,49:04900:0:Z2191592709;49:04900:0:Z3177536028;49:04900:3:Z2187831550;
CC1CNCCO1,15864,49:04900:0:Z4481814453;49:04900:0:Z4480847328;49:04900:0:Z4909333302;
C1NCC2CC1C2,760,49:04900:0:Z4481814453;49:04900:0:Z4480847328;49:04900:4:Z5018263946;
CC1CC1(F)F,3114,49:04900:0:Z3577874193;49:04900:0:Z5064406541;49:04900:0:Z4121552227;
