fragment_smiles,occurences,example_ligands
Cc1cncs1,7857,347:34700:0:Z2275465269;347:34700:0:Z4127818246;347:34700:0:Z3861604848;
O=C1CCCCCN1,4635,347:34700:0:Z2275465269;347:34700:0:Z1926497807;347:34700:0:Z3628956653;
C1CC2CNC(C1)C2,2048,347:34700:0:Z2997626270;347:34700:0:Z4055041456;347:34700:0:Z4909452478;
Clc1cccnc1,16436,347:34700:0:Z1231829839;347:34700:0:Z3535184756;347:34700:0:Z1838672778;
Nc1ncc2c(n1)CCCC2,174,347:34700:0:Z2433627884;347:34700:0:Z4302334769;347:34700:9:Z4303870441;
Cn1ncc2c1CCCC2,2319,347:34700:0:Z1986131129;347:34700:0:Z4247871778;347:34700:0:Z1957568270;
Cc1ncccn1,6509,347:34700:0:Z1678028824;347:34700:0:Z2027114809;347:34700:0:Z4055041456;
c1cnc2[nH]ccc2c1,4125,347:34700:0:Z1678028824;347:34700:0:Z2072958224;347:34700:1:Z1401028815;
c1cnc2ncccc2c1,1159,347:34700:0:Z2233231729;347:34700:0:Z2506418095;347:34700:2:Z4369613377;
CC1(C)CCCC(=O)C1,183,347:34700:0:Z5000076052;347:34700:0:Z5007331718;347:34700:2:Z5007332328;
OC1CCCC1,9381,347:34700:0:Z2228854734;347:34700:0:Z4768030848;347:34700:0:Z3687057185;
Cc1c[nH]cn1,2216,347:34700:0:Z3576459209;347:34700:1:Z3584779467;347:34700:1:Z4470692078;
C1CCC2(CC1)CCC2,3537,347:34700:0:Z3576459209;347:34700:0:Z3298905008;347:34700:0:Z4209551149;
OC1CC2CNCc3cccnc3N2C1,603,347:34700:0:Z2651376894;347:34700:0:Z2651392403;347:34700:0:Z2915030993;
CN1C(=O)CC2CNCCC21,378,347:34700:0:Z3099061402;347:34700:2:Z3319533465;347:34700:4:Z3586013884;
C1=NOCC1,8492,347:34700:0:Z2014704419;347:34700:0:Z1942040197;347:34700:0:Z3509572510;
O=C1CCCn2cccc21,356,347:34700:0:Z2014704419;347:34700:0:Z3001153080;347:34700:9:Z1927203408;
Clc1cscn1,551,347:34700:0:Z2218339256;347:34700:5:Z1927194720;347:34700:6:Z2220326231;
C1CCSC1,4314,347:34700:0:Z3708263528;347:34700:0:Z2499728268;347:34700:0:Z1931126160;
O=C1NCC2(CCNCC2)N1,259,347:34700:0:Z3653912927;347:34700:1:Z3655410160;347:34700:5:Z3653912621;
O=S1(=O)CCC2CNCC21,872,347:34700:0:Z3098660062;347:34700:1:Z2979366782;347:34700:2:Z2600077997;
Cc1n[nH]c(C)c1C,345,347:34700:0:Z3623099546;347:34700:2:Z3918053332;347:34700:3:Z3577939001;
C1CCC2(C1)CCNCC2,824,347:34700:0:Z1942040197;347:34700:0:Z1393942679;347:34700:0:Z3798097205;
OC1CNC1,7200,347:34700:0:Z3056634036;347:34700:0:Z3726657135;347:34700:0:Z2023312643;
c1ccc2c(c1)CCCN2,23710,347:34700:0:Z3361971225;347:34700:0:Z2718610030;347:34700:0:Z3508770010;
CC1CCNC(=O)C1,813,347:34700:0:Z4349661748;347:34700:0:Z3638648947;347:34700:2:Z1995134413;
CN1CCOCC1,4772,347:34700:0:Z2590732434;347:34700:0:Z1639299390;347:34700:0:Z2931499505;
c1ccc2c(c1)OCO2,20930,347:34700:0:Z1675430809;347:34700:0:Z4274855237;347:34700:0:Z1219856469;
Cc1ncoc1C,2141,347:34700:0:Z1675430809;347:34700:0:Z1984426158;347:34700:0:Z4154029409;
OC1CCNCC1,29211,347:34700:0:Z4268470389;347:34700:0:Z4455443613;347:34700:0:Z2777383615;
c1ncc2ccsc2n1,1463,347:34700:0:Z3634633435;347:34700:0:Z1639858078;347:34700:0:Z2622811525;
Cn1ccccc1=O,4369,347:34700:0:Z3724195595;347:34700:0:Z4491481224;347:34700:0:Z4486503904;
c1cc2cc[nH]c2cn1,814,347:34700:0:Z2222866925;347:34700:2:Z3817146721;347:34700:2:Z4373465816;
O=S1(=O)CCNCC1,6235,347:34700:0:Z3051123510;347:34700:0:Z1765035393;347:34700:0:Z2155887657;
Cc1cnc[nH]1,2514,347:34700:0:Z3725074923;347:34700:0:Z3723086496;347:34700:0:Z1274913696;
