fragment_smiles,occurences,example_ligands
c1noc2c1CCCCC2,1161,55:05500:0:Z3337646963;55:05500:0:Z4216073246;55:05500:1:Z3602907849;
Cc1ccoc1,7086,55:05500:0:Z2709376141;55:05500:0:Z3174098732;55:05500:0:Z3344958975;
Fc1ccc(Cl)cc1,4320,55:05500:0:Z4199556373;55:05500:0:Z3407542583;55:05500:1:Z1874000200;
OC1CCCC1,13350,55:05500:0:Z4475301849;55:05500:0:Z3695797485;55:05500:0:Z3193059914;
c1ncc2nc[nH]c2n1,5392,55:05500:0:Z4771895032;55:05500:0:Z4771532122;55:05500:0:Z4769360236;
Cc1ccn2ccnc2c1,1067,55:05500:0:Z1542043790;55:05500:0:Z4023564262;55:05500:1:Z1543162573;
C1CCC2(C1)CNCCO2,527,55:05500:0:Z1542043790;55:05500:2:Z2905528665;55:05500:4:Z3196819147;
C1CCCOCC1,1762,55:05500:0:Z2844149741;55:05500:0:Z3809498924;55:05500:0:Z3809497750;
Cc1ccc(C)o1,2518,55:05500:0:Z1362420313;55:05500:0:Z2595825634;55:05500:0:Z2166723195;
Cc1ncsc1C,2728,55:05500:0:Z1281128140;55:05500:0:Z4446361576;55:05500:0:Z1823211342;
Cc1cc(C)[nH]n1,21265,55:05500:0:Z1281128140;55:05500:0:Z3808353416;55:05500:0:Z3808354560;
Cc1cn[nH]c1,11990,55:05500:0:Z1741141349;55:05500:0:Z3011611529;55:05500:0:Z4064048817;
O=S1(=O)CCCC1,13732,55:05500:0:Z2328627773;55:05500:0:Z2166723195;55:05500:0:Z119242302;
Cc1ccccc1C,13184,55:05500:0:Z2707955969;55:05500:0:Z2970843556;55:05500:0:Z1427769869;
Cc1cccc(C)c1,24942,55:05500:0:Z4029931750;55:05500:0:Z4577242920;55:05500:0:Z1542833555;
C1CCC2NCCC2C1,2981,55:05500:0:Z4029931750;55:05500:1:Z2439455255;55:05500:1:Z2295989730;
O=C1CCNC(=O)N1,11914,55:05500:0:Z4888076046;55:05500:0:Z3529730345;55:05500:0:Z3529730873;
C1CCSCC1,10736,55:05500:0:Z4888076046;55:05500:0:Z2361861310;55:05500:0:Z2174257119;
CC1(C)CCCS1,336,55:05500:0:Z4932111470;55:05500:6:Z3585930613;55:05500:7:Z3174192249;
C1CC2CCC(C1)C2,1117,55:05500:0:Z4932111470;55:05500:1:Z5008889174;55:05500:1:Z4932101492;
O=C1CCC12CCC2,782,55:05500:0:Z4111473358;55:05500:1:Z4399356772;55:05500:2:Z4111204621;
C1CC2CNCC2O1,3691,55:05500:0:Z5053831585;55:05500:0:Z3998290115;55:05500:0:Z5052610109;
C1CC2COC(C1)C2,3199,55:05500:0:Z2970843556;55:05500:0:Z4273562786;55:05500:0:Z4272419401;
Cc1n[nH]c(C)n1,2088,55:05500:0:Z4290336116;55:05500:0:Z2946784713;55:05500:0:Z2782927281;
C1CCCNCC1,23576,55:05500:0:Z4290336116;55:05500:0:Z3809485554;55:05500:0:Z3598869205;
c1nncs1,31793,55:05500:0:Z4187744078;55:05500:0:Z3619759542;55:05500:0:Z915960806;
Oc1cccc(F)c1,1670,55:05500:0:Z1671343355;55:05500:0:Z3522398482;55:05500:0:Z3518326234;
Fc1ccc2[nH]cnc2c1,1038,55:05500:0:Z4065369197;55:05500:0:Z2228893448;55:05500:3:Z4289097380;
OC1CNC1,9051,55:05500:0:Z4065369197;55:05500:0:Z2182439098;55:05500:0:Z4227436560;
CC1CCC1,7245,55:05500:0:Z4068274026;55:05500:0:Z1369617465;55:05500:0:Z1375804114;
O=C1CCCCN1,26100,55:05500:0:Z3609509320;55:05500:0:Z2221623632;55:05500:0:Z3009916083;
Cc1[nH]c2cccc(C)c2c1C,88,55:05500:0:Z4042923636;55:05500:4:Z4077902081;55:05500:6:Z4077901031;
c1ccc2c(c1)CCS2,1310,55:05500:0:Z1523228042;55:05500:0:Z3602412450;55:05500:0:Z3055261767;
C1CC2(CCSC2)CN1,405,55:05500:0:Z3575080189;55:05500:0:Z3601952160;55:05500:0:Z3852245231;
CC1COc2ccccc2C1,520,55:05500:0:Z5058690506;55:05500:0:Z1653946894;55:05500:2:Z5058740516;
OC1CCC1,17650,55:05500:0:Z3317942237;55:05500:0:Z5000683273;55:05500:0:Z2274661256;
Clc1cn[nH]c1,8052,55:05500:0:Z2877083945;55:05500:0:Z2110272524;55:05500:0:Z3630164819;
Cc1cnsc1,514,55:05500:0:Z3844361254;55:05500:5:Z4032380217;55:05501:2:Z3844373950;
C1CC2CCC2CN1,135,55:05500:0:Z3618917820;55:05501:3:Z4346368461;55:05501:5:Z4187927531;
Nc1ccccn1,2979,55:05500:0:Z2446599074;55:05500:0:Z927559848;55:05500:0:Z4642615037;
c1cnoc1,82364,55:05500:0:Z2110272524;55:05500:0:Z2186520434;55:05500:0:Z3048203605;
NC1CCCCC1,6190,55:05500:0:Z4452221891;55:05500:0:Z4056000534;55:05500:0:Z3791020452;
Cc1csc2ccc(F)cc12,148,55:05500:0:Z2964610126;55:05501:1:Z1494963115;55:05502:4:Z4248999995;
Cc1ccc2c(c1)NCCCC2,85,55:05500:0:Z4127361842;55:05500:9:Z4312694505;55:05503:4:Z4191096472;
c1ccc2[nH]ccc2c1,23707,55:05500:0:Z3809485554;55:05500:0:Z1252511423;55:05500:0:Z4154838808;
Cc1ccc(O)cc1,1248,55:05500:0:Z2915356343;55:05500:0:Z4296317845;55:05500:0:Z1265595717;
C1CC2(C1)OCCO2,596,55:05500:0:Z4242257462;55:05500:3:Z4022693419;55:05500:3:Z3875978531;
O=c1[nH]cnc2sccc12,1005,55:05500:0:Z4242257462;55:05500:0:Z1231530580;55:05500:4:Z3521117550;
Cc1ncn2ccccc12,217,55:05500:0:Z4472349785;55:05501:1:Z2635983772;55:05501:3:Z2922141295;
C1NCC2CC12,13032,55:05500:0:Z2364428700;55:05500:0:Z3788503382;55:05500:0:Z4194634678;
O=C1CCCN1,63462,55:05500:0:Z3573240242;55:05500:0:Z3573241517;55:05500:0:Z1548215262;
Cc1nccs1,14652,55:05500:0:Z925282942;55:05500:0:Z1957535078;55:05500:0:Z1152206212;
O=c1cccc[nH]1,21454,55:05500:0:Z2016201755;55:05500:0:Z2906635807;55:05500:0:Z2073440493;
Fc1cccnc1,27566,55:05500:0:Z3484556660;55:05500:0:Z3834542022;55:05500:0:Z3613213504;
Cc1ccccc1O,3233,55:05500:0:Z3594409640;55:05500:0:Z3680631348;55:05500:0:Z3378386342;
C1CN2CCC1C2,1408,55:05500:0:Z4484072923;55:05500:0:Z3538416209;55:05500:0:Z4219597237;
c1cc2cnccc2cn1,255,55:05500:0:Z4276160521;55:05500:0:Z4276166050;55:05500:4:Z3829964251;
Cc1ccc2c(c1)CCS2(=O)=O,143,55:05500:0:Z3353981566;55:05500:4:Z3357399152;55:05500:4:Z4055794510;
c1cnc2c(c1)CNC2,947,55:05500:0:Z3353981566;55:05500:0:Z4447892716;55:05500:1:Z4060696602;
O=c1[nH]nn[nH]1,586,55:05500:0:Z4216271931;55:05500:0:Z4216118243;55:05500:3:Z2275587492;
c1ccc2c(c1)CCO2,13096,55:05500:0:Z4216271931;55:05500:0:Z4216118243;55:05500:0:Z3053789766;
Cc1nc2ccccn2n1,1164,55:05500:0:Z3695797485;55:05500:0:Z3830053822;55:05500:0:Z2312715660;
C1CC2CCC1O2,6657,55:05500:0:Z2804378666;55:05500:0:Z4342742627;55:05500:0:Z2804382914;
C1=NOC2COCC12,988,55:05500:0:Z3815257471;55:05500:1:Z3912007762;55:05500:1:Z3830839140;
c1nnc[nH]1,41650,55:05500:0:Z3181260813;55:05500:0:Z1988937109;55:05500:0:Z2784443618;
C1NCC2CC1CN2,432,55:05500:0:Z3521604471;55:05500:1:Z4448086579;55:05500:2:Z4215795311;
C1CCSC1,9156,55:05500:0:Z4879589936;55:05500:0:Z1935008426;55:05500:0:Z4594476923;
C1=Cc2ccccc2CC1,654,55:05500:0:Z2075610026;55:05500:1:Z1851677525;55:05500:1:Z1851692709;
Cn1ncc2cccnc21,1887,55:05500:0:Z1651741487;55:05500:0:Z1324349792;55:05500:1:Z3367079647;
FC1CCC2CNCC12,385,55:05500:0:Z1651741487;55:05500:2:Z1471458626;55:05500:3:Z2708266425;
c1ccc2c(c1)CCNC2,17619,55:05500:0:Z3298912229;55:05500:0:Z4406551123;55:05500:0:Z4656488755;
