fragment_smiles,occurences,example_ligands
CC1NCCNC1C,1895908,193:19300:0:PV-006644528406;193:19300:0:PV-006644550711;193:19300:0:PV-006644550712;;
Oc1nscc1Cl,318870,193:19300:0:PV-006644528406;193:19300:0:PV-006644529236;193:19300:0:PV-006644530355;;
Cc1cn[nH]c1C,2112065,193:19300:0:PV-006644528490;193:19300:0:PV-003884899161;193:19300:0:PV-003884902371;;
CC1CNCC(C)N1,320119,193:19300:0:PV-006644528522;193:19300:1:PV-002238737995;193:19300:1:PV-003034711859;;
FC1CC2CC12,1337437,193:19300:0:PV-006644528541;193:19300:0:PV-006644554753;193:19300:0:PV-006644554754;;
Cn1cc(Cl)cn1,3902076,193:19300:0:PV-006644528634;193:19300:0:PV-006644528635;193:19300:0:PV-006644528636;;
C1COCCN1,35139035,193:19300:0:PV-006644528652;193:19300:0:PV-006644528653;193:19300:0:PV-006644528654;;
Fc1cccc(Cl)c1,6183216,193:19300:0:PV-006644528652;193:19300:0:PV-006644528653;193:19300:0:PV-006644528654;;
Nc1nccs1,2850329,193:19300:0:PV-006644528690;193:19300:0:PV-006644528691;193:19300:0:PV-006644528692;;
C1CCC2(C1)CCC2,2442781,193:19300:0:PV-006644528778;193:19300:0:PV-006644544629;193:19300:0:PV-006644544630;;
Clc1cncc(Cl)c1,694206,193:19300:0:PV-006644528793;193:19300:0:PV-006644552017;193:19300:0:PV-000331393695;;
C1CC2(CCOCC2)CN1,1098628,193:19300:0:PV-006644529003;193:19300:0:PV-003034703315;193:19300:1:PV-000284810998;;
Cc1cccc(F)c1,9190388,193:19300:0:PV-006644529006;193:19300:0:PV-006644529007;193:19300:0:PV-001810240003;;
CC1CNCCN1,30510221,193:19300:0:PV-006644529088;193:19300:0:PV-006644529089;193:19300:0:PV-006644529090;;
O=S1(=O)C=CCCC1,433010,193:19300:0:PV-006644529124;193:19300:2:PV-006644583699;193:19300:2:PV-006644583700;;
CC1(O)CCC1,1901453,193:19300:0:PV-006644529124;193:19300:0:PV-003884895657;193:19300:0:PV-003884910100;;
