fragment_smiles,occurences,example_ligands
O=S1(=O)CCCNCC1,1022,94:09400:0:Z3582586946;94:09400:2:Z3609962137;94:09400:4:Z3819095509;
c1ccc2c(c1)CCCO2,13483,94:09400:0:Z2780730752;94:09400:0:Z3595957565;94:09400:0:Z3440676494;
Oc1ccccc1,40704,94:09400:0:Z2642911562;94:09400:0:Z3523923531;94:09400:0:Z3189528442;
Cc1ncc[nH]1,9398,94:09400:0:Z3321265598;94:09400:0:Z3407432895;94:09400:0:Z3666738527;
Clc1cccnc1,20179,94:09400:0:Z1594316624;94:09400:0:Z3723889355;94:09400:0:Z4345287929;
Nc1ncccn1,1312,94:09400:0:Z1578881907;94:09400:0:Z3051511950;94:09400:0:Z3395880583;
c1ccc2c3c(oc2c1)CCNC3,83,94:09400:0:Z4229431250;94:09402:1:Z3637171606;94:09402:7:Z4231766263;
Cc1nnc2n1CCC2,688,94:09400:0:Z4200136520;94:09400:3:Z3555675707;94:09400:5:Z3567206910;
CC1CCC1,5820,94:09400:0:Z4200136520;94:09400:0:Z2028746201;94:09400:0:Z4194541880;
Cc1csc2nccn12,732,94:09400:0:Z2776281512;94:09400:0:Z2781997831;94:09400:2:Z4235936733;
CC1CNCC2(CCOCC2)O1,387,94:09400:0:Z2776281512;94:09400:4:Z4148636106;94:09400:8:Z4212837347;
c1c[nH]cn1,72717,94:09400:0:Z2715878775;94:09400:0:Z4267971289;94:09400:0:Z4266815086;
c1ccoc1,87814,94:09400:0:Z1533509905;94:09400:0:Z3355846446;94:09400:0:Z2705472427;
O=C1CCNCC1,712,94:09400:0:Z4224270353;94:09400:1:Z4768677364;94:09400:4:Z4478095664;
Cc1csc(C)c1,578,94:09400:0:Z2581067997;94:09400:1:Z2212598573;94:09400:5:Z2868830394;
CC1CCCO1,8714,94:09400:0:Z2699934552;94:09400:0:Z2351447649;94:09400:0:Z3567083476;
O=C1CSCN1,302,94:09400:0:Z1151438487;94:09400:3:Z4424226687;94:09400:6:Z3624244976;
c1ncc2[nH]cnc2n1,677,94:09400:0:Z929770426;94:09400:1:Z3649128916;94:09400:4:Z1217382491;
Oc1ccccc1Cl,1449,94:09400:0:Z1668720225;94:09400:0:Z2782285062;94:09400:0:Z4909542902;
Cc1cc2ccccc2[nH]1,2133,94:09400:0:Z4833498459;94:09400:0:Z4524062696;94:09400:0:Z999878398;
c1nc[nH]n1,51064,94:09400:0:Z5018438323;94:09400:0:Z2214638495;94:09400:0:Z1424526891;
C1CCSCC1,8836,94:09400:0:Z5018438323;94:09400:0:Z4400078191;94:09400:0:Z2456862442;
c1cnccn1,31653,94:09400:0:Z3828942088;94:09400:0:Z4046466845;94:09400:0:Z1411378471;
Fc1cccc(Cl)c1,16832,94:09400:0:Z3828942088;94:09400:0:Z2194253474;94:09400:0:Z3175415750;
O=S1(=O)CCC2(CCCN2)C1,281,94:09400:0:Z3865373879;94:09400:0:Z3865360829;94:09400:7:Z3649454898;
c1ccc2c(c1)CCCNC2,1412,94:09400:0:Z5043384660;94:09400:0:Z2271032675;94:09400:0:Z2096440127;
