fragment_smiles,occurences,example_ligands
FC1(F)CC12CNCCOC2,392,53:05300:0:Z4590172733;53:05300:2:Z4579998160;53:05300:3:Z4579848317;
Cc1nnn[nH]1,1229,53:05300:0:Z3473209924;53:05300:0:Z3295452515;53:05300:0:Z3467750014;
OC1CCNC1,24203,53:05300:0:Z4199572333;53:05300:0:Z3383428773;53:05300:0:Z3875805913;
C1CC12CC2,935,53:05300:0:Z2414591969;53:05300:0:Z4110254547;53:05300:1:Z2362815475;
NC1CCC2(CC1)CNCCO2,264,53:05300:0:Z3384947666;53:05300:0:Z3383975094;53:05300:0:Z3519122934;
CN1CCCCC1,18974,53:05300:0:Z4278071852;53:05300:0:Z3193144545;53:05300:0:Z2182146896;
Cc1ccnc2c1NC(=O)CN2,67,53:05300:0:Z4126304841;53:05301:2:Z2850657601;53:05301:7:Z4126297779;
C1OCC2CC12,2659,53:05300:0:Z4126304841;53:05300:0:Z3603057275;53:05300:1:Z2778472184;
Cc1ccccc1O,3231,53:05300:0:Z1625562204;53:05300:0:Z1985448402;53:05300:0:Z4251879617;
c1ccc2scnc2c1,11552,53:05300:0:Z3827918829;53:05300:0:Z4026474384;53:05300:0:Z4025521570;
Cc1ccco1,22474,53:05300:0:Z2272744158;53:05300:0:Z2712040398;53:05300:0:Z2707840393;
Cc1ncco1,4905,53:05300:0:Z4011827553;53:05300:0:Z4251879617;53:05300:0:Z3357020727;
c1ccn2cnnc2c1,5216,53:05300:0:Z1347904168;53:05300:0:Z1683329085;53:05300:0:Z1986640165;
O=S1(=O)CCC(O)C1,584,53:05300:0:Z4257774260;53:05300:0:Z4261893986;53:05300:1:Z4292879628;
CC1CCCC(F)(F)C1,978,53:05300:0:Z4000663039;53:05300:3:Z4021512975;53:05300:4:Z4173057406;
Clc1cccc(Cl)c1,17488,53:05300:0:Z2436618181;53:05300:0:Z1688553764;53:05300:0:Z4028634480;
CC1NCN(C)C1=O,380,53:05300:0:Z2436618181;53:05300:0:Z3694886045;53:05300:0:Z3574112016;
O=C1CCNC(=O)N1,11986,53:05300:0:Z3538866229;53:05300:0:Z3782534733;53:05300:0:Z3541604951;
CC1CCN1,2634,53:05300:0:Z4043432523;53:05300:0:Z4024073841;53:05300:1:Z2803862902;
Cc1cc(C)[nH]n1,21122,53:05300:0:Z4043432523;53:05300:0:Z2979405855;53:05300:0:Z3536808878;
Cc1ccc(C)nn1,1098,53:05300:0:Z2710383135;53:05300:1:Z3556137140;53:05300:5:Z1558458675;
Cn1nccn1,2432,53:05300:0:Z3294565435;53:05300:0:Z3781232152;53:05300:1:Z4124936278;
O=C1CCNc2ccc(F)cc2N1,94,53:05300:0:Z3294565435;53:05300:3:Z1318131578;53:05301:1:Z4569554127;
NC1CCOCC1,1385,53:05300:0:Z3292992938;53:05300:0:Z3140842897;53:05300:2:Z3125555948;
CN1CCNC1=O,398,53:05300:0:Z3610177331;53:05300:0:Z4145359450;53:05300:2:Z2637190505;
FC1(F)CC1,14175,53:05300:0:Z3610177331;53:05300:0:Z2875876897;53:05300:0:Z2825639654;
c1ccc2c(c1)CCNC2,17523,53:05300:0:Z3698839744;53:05300:0:Z3549948940;53:05300:0:Z3105301091;
Oc1ccccn1,4423,53:05300:0:Z4270911096;53:05300:0:Z2769423708;53:05300:0:Z3806915527;
Cc1ccc2nccn2c1,1379,53:05300:0:Z3583730677;53:05300:0:Z195884048;53:05300:0:Z3712069522;
Cc1cccnn1,4632,53:05300:0:Z2351702063;53:05300:0:Z1505868749;53:05300:0:Z2625338433;
Cn1c(=O)sc2ccccc21,484,53:05300:0:Z4172593452;53:05300:0:Z2773076043;53:05300:4:Z4232975768;
C1CC2CCCC2C1,1884,53:05300:0:Z4172593452;53:05300:0:Z4178392057;53:05300:1:Z3357640999;
C=C1NC(=O)c2ccccc21,338,53:05300:0:Z225511172;53:05300:2:Z2188385806;53:05300:3:Z4469447268;
C1CC2(C1)CCN2,2706,53:05300:0:Z2812996622;53:05300:0:Z4278001925;53:05300:0:Z3634511581;
Cc1cccs1,14763,53:05300:0:Z1400624649;53:05300:0:Z3383402177;53:05300:0:Z4241427325;
CC1CN2CCCCC2CN1,281,53:05300:0:Z1400624649;53:05300:5:Z3467913695;53:05300:6:Z1222664732;
Cc1n[nH]c(C)n1,2094,53:05300:0:Z3374485281;53:05300:0:Z2668679661;53:05300:0:Z4151045360;
Cc1cccnc1,22808,53:05300:0:Z2842009573;53:05300:0:Z2710744009;53:05300:0:Z3175954428;
