fragment_smiles,occurences,example_ligands
CC1CNCC(C)C1=O,230,3:00300:0:Z4122843094;3:00300:1:Z4051683082;3:00300:7:Z4051682265;
c1cc2n(n1)CCOC2,1027,3:00300:0:Z2453246143;3:00300:0:Z2454773571;3:00300:0:Z3604655098;
C1CCC2CNCC2C1,2194,3:00300:0:Z3639252708;3:00300:0:Z2292694769;3:00300:0:Z2181112623;
C1CC2CN(C1)CCO2,152,3:00300:0:Z2975838219;3:00300:2:Z2264100133;3:00300:8:Z2313033372;
c1ccc2sncc2c1,2369,3:00300:0:Z1834913924;3:00300:1:Z3695154432;3:00300:2:Z3625205214;
c1cnc2ncnn2c1,2415,3:00300:0:Z1513494913;3:00300:0:Z285786162;3:00300:0:Z3391091610;
Cc1ccccc1Cl,7379,3:00300:0:Z3174863810;3:00300:0:Z2504106825;3:00300:0:Z4484286579;
CC1CC=NO1,2577,3:00300:0:Z4239081443;3:00300:0:Z3809597895;3:00300:1:Z1862602311;
FC1CCOCC1,1663,3:00300:0:Z4432419928;3:00300:1:Z2784200376;3:00300:2:Z3815680283;
O=c1[nH]cnc2ccccc12,1066,3:00300:0:Z4644683881;3:00300:0:Z4993756183;3:00300:1:Z3394968698;
C1CC2OCCNC2CN1,515,3:00300:0:Z4215598846;3:00300:0:Z3321935600;3:00300:2:Z4215594645;
Clc1ccccc1,96391,3:00300:0:Z1878606146;3:00300:0:Z4203707085;3:00300:0:Z3625890862;
CC1CCNCC1F,668,3:00300:0:Z4119835567;3:00300:1:Z3621105690;3:00300:4:Z4464568007;
FC1CNCCOC1,286,3:00300:0:Z4119835567;3:00300:1:Z4079984521;3:00300:1:Z4080060572;
c1cn[nH]n1,8602,3:00300:0:Z5004174297;3:00300:0:Z4041684783;3:00300:0:Z3866072408;
Cc1nccc(Cl)n1,523,3:00300:0:Z1272565485;3:00300:1:Z1039090356;3:00300:1:Z1378410913;
CN1CCCCC1,16410,3:00300:0:Z1272565485;3:00300:0:Z3667502565;3:00300:0:Z2769513761;
FC1(F)CC2CCC1C2,1064,3:00300:0:Z3875152047;3:00300:0:Z3835772179;3:00300:0:Z3844604180;
C1CC2(C1)CC2,11575,3:00300:0:Z3875152047;3:00300:0:Z3576190407;3:00300:0:Z4556551951;
O=C1NCCCN1,662,3:00300:0:Z3139976835;3:00300:1:Z402606592;3:00300:1:Z417943342;
C1CNCC2(C1)CCCN2,178,3:00300:0:Z3139976835;3:00301:6:Z4028567066;3:00301:9:Z3891189908;
CC1CCCN1,24898,3:00300:0:Z4203707085;3:00300:0:Z1867032821;3:00300:0:Z3025099336;
c1ccn2cncc2c1,2209,3:00300:0:Z2777478069;3:00300:1:Z4079984521;3:00300:1:Z4213264084;
Cc1cnccn1,9767,3:00300:0:Z1837996239;3:00300:0:Z3626148810;3:00300:0:Z2347927925;
CC1(C)CCCCO1,5683,3:00300:0:Z4913122461;3:00300:0:Z4335336150;3:00300:0:Z4335328420;
CC1(C)CC1,9998,3:00300:0:Z3702728859;3:00300:0:Z3803518465;3:00300:0:Z4031974121;
C1CCC2OCCC2C1,2122,3:00300:0:Z3623669216;3:00300:1:Z3184130138;3:00300:1:Z3775625439;
CS(C)(=N)=O,4284,3:00300:0:Z3651107913;3:00300:0:Z2775061780;3:00300:0:Z4232950500;
FC1(F)C2CCCC21,4249,3:00300:0:Z3651107913;3:00300:0:Z2918236211;3:00300:0:Z3554377567;
CN1CCN(C)CC1,650,3:00300:0:Z4288546557;3:00300:1:Z1440631980;3:00300:2:Z1596201619;
Fc1cccc(Cl)c1,13163,3:00300:0:Z1893547264;3:00300:0:Z4027613826;3:00300:0:Z4644017776;
C1CCC2(CCOC2)NC1,221,3:00300:0:Z3206879407;3:00300:4:Z3317905153;3:00300:6:Z4325455309;
c1ccc2c(c1)sc1ncncc12,52,3:00300:0:Z1994051984;3:00301:3:Z4343656680;3:00301:9:Z1994080851;
CN1CCCC1,13056,3:00300:0:Z2802582085;3:00300:0:Z4076843946;3:00300:0:Z4220239973;
Cc1n[nH]c2ccncc12,286,3:00300:0:Z4342572298;3:00300:2:Z3889150404;3:00300:2:Z3865571925;
Cc1csc(C)n1,4826,3:00300:0:Z1787077985;3:00300:0:Z4964200510;3:00300:0:Z3364542779;
Cc1ccn(C)c1,1011,3:00300:0:Z1787077985;3:00300:0:Z4407825973;3:00300:0:Z2210112360;
Cc1ccccn1,28659,3:00300:0:Z3351945009;3:00300:0:Z2072074018;3:00300:0:Z2201959995;
C1CC2COC(C1)C2,3402,3:00300:0:Z3351945009;3:00300:0:Z3379712768;3:00300:0:Z3511192487;
CC1CCCNCC1,1302,3:00300:0:Z2850194517;3:00300:2:Z1998501435;3:00300:4:Z4267553040;
CC1CCCS1,3570,3:00300:0:Z3566156053;3:00300:0:Z2390633834;3:00300:0:Z2359096989;
OC1CC2(CC2)C1,895,3:00300:0:Z3672039548;3:00300:0:Z2964998350;3:00300:1:Z3784685143;
C1=NNCC1,285,3:00300:0:Z3168360411;3:00300:1:Z3168362422;3:00300:8:Z3168364820;
Cc1cc[nH]n1,21324,3:00300:0:Z1466257111;3:00300:0:Z2596014731;3:00300:0:Z2493599996;
c1cc2c(s1)CCCC2,1838,3:00300:0:Z1466257111;3:00300:0:Z2965797240;3:00300:1:Z3539555227;
CC1(C)OCCCO1,1592,3:00300:0:Z3625890862;3:00300:0:Z2142383712;3:00300:0:Z4999822920;
C1CSC2CCC2N1,568,3:00300:0:Z2646067532;3:00300:4:Z2613082086;3:00300:5:Z3098307398;
O=C1CCC2(CCNC2)N1,381,3:00300:0:Z3602057550;3:00300:2:Z3806455077;3:00300:3:Z3794735938;
c1cnc2[nH]ncc2c1,1572,3:00300:0:Z3602057550;3:00300:0:Z1675722171;3:00300:2:Z3583929954;
Cc1cc(C)[nH]n1,12267,3:00300:0:Z1447456032;3:00300:0:Z3575713088;3:00300:0:Z3101853676;
C1CNCCOC1,13940,3:00300:0:Z3821733139;3:00300:0:Z3510247266;3:00300:0:Z3611419063;
