fragment_smiles,occurences,example_ligands
Clc1ccsc1,21741,90:09000:0:PV-003877305441;90:09000:0:PV-002290033789;90:09000:0:PV-002704690469;
CC1CC1(F)F,9073,90:09000:0:PV-003877305459;90:09000:0:PV-003877307530;90:09000:0:PV-003877308904;
Cn1ccnc1,32733,90:09000:0:PV-003877305459;90:09000:0:PV-003031755581;90:09000:0:PV-003031755582;
C1CC2(C1)CNC2,16533,90:09000:0:PV-003031755533;90:09000:0:PV-003877305897;90:09000:0:PV-003877308623;
c1cnsn1,9844,90:09000:0:PV-003031755533;90:09000:0:PV-001669561270;90:09000:0:PV-003877313696;
CC1(C)CNCCNC1,1682,90:09000:0:PV-003877305499;90:09000:0:PV-003877327341;90:09000:0:PV-003877327342;
C1CC2(CCN1)CCNC2,1381,90:09000:0:PV-003031755537;90:09000:0:PV-000542291115;90:09000:0:PV-003031764126;
CC1CCOC1,12024,90:09000:0:PV-003877305506;90:09000:0:PV-003877312811;90:09000:0:PV-001589688830;
C1CC2CC1CN2,15669,90:09000:0:PV-003877305506;90:09000:0:PV-003877306771;90:09000:0:PV-003877306960;
Cc1cnsc1,6469,90:09000:0:PV-003877305639;90:09000:0:PV-003877305640;90:09000:0:PV-003877308871;
FC1CCCC1,11896,90:09000:0:PV-003877305658;90:09000:0:PV-003877307008;90:09000:0:PV-003877307009;
CC1CNC(=O)C1,1870,90:09000:0:PV-003031755595;90:09000:2:PV-006622210781;90:09000:3:PV-001500261359;
C1CC2CC2N1,20750,90:09000:0:PV-003877305743;90:09000:0:PV-003877307655;90:09000:0:PV-003877309686;
Oc1ccncn1,3206,90:09000:0:PV-003031755633;90:09000:0:PV-003877305770;90:09000:0:PV-003877331271;
CC1CNCCN1,60846,90:09000:0:PV-003031755638;90:09000:0:PV-003031755639;90:09000:0:PV-003031755640;
Clc1csnc1Cl,2525,90:09000:0:PV-004134902573;90:09000:0:PV-000349457211;90:09000:0:PV-001500024629;
c1nnc[nH]1,20950,90:09000:0:PV-002600530549;90:09000:0:PV-003031755835;90:09000:0:PV-003877318732;
C1CCSCC1,21460,90:09000:0:PV-003877305897;90:09000:0:PV-003031757429;90:09000:0:PV-003877319773;
C1CC2CNCC2N1,12764,90:09000:0:PV-003877305944;90:09000:0:PV-003877305946;90:09000:0:PV-003877311145;
C1OCC2CC12,10006,90:09000:0:PV-003877305944;90:09000:0:PV-003877305946;90:09000:0:PV-001582655274;
C1COCCN1,49405,90:09000:0:PV-003031755702;90:09000:0:PV-003877308842;90:09000:0:PV-003877308932;
C1CNCCOC1,14061,90:09000:0:PV-003877305969;90:09000:0:PV-003877311300;90:09000:0:PV-003877311784;
FC1CCCCC1,7693,90:09000:0:PV-003877305974;90:09000:0:PV-002134784943;90:09000:0:PV-003877325050;
C1=CSCS1,7099,90:09000:0:PV-003877305974;90:09000:0:PV-003877331033;90:09000:1:PV-006622040757;
Cc1cccc(C)n1,3396,90:09000:0:PV-003877306003;90:09000:0:PV-003877316130;90:09000:0:PV-000490430216;
Cc1cc(C)sn1,2157,90:09000:0:PV-000534810518;90:09000:0:PV-000534810516;90:09000:1:PV-006622027412;
c1ccnnc1,22488,90:09000:0:PV-003877306055;90:09000:0:PV-001564245804;90:09000:0:PV-001251502573;
CC1CC1F,10423,90:09000:0:PV-003877306055;90:09000:0:PV-003877308171;90:09000:0:PV-003877313591;
C1CC2(C1)CCC2,13630,90:09000:0:PV-003877306056;90:09000:0:PV-003031756430;90:09000:0:PV-003877308649;
Cc1cccn1C,8059,90:09000:0:PV-003877306069;90:09000:0:PV-003877308942;90:09000:0:PV-003877308943;
Fc1cccc(F)c1,23333,90:09000:0:PV-003031755740;90:09000:0:PV-003031756062;90:09000:0:PV-003877313975;
Cc1c[nH]nn1,592,90:09000:0:PV-003877306077;90:09000:3:PV-003877417656;90:09000:3:PV-002497043046;
O=c1[nH][nH]c2c1CCCC2,45,90:09000:0:PV-003877306078;90:09000:1:PV-006622020806;90:09000:1:PV-006622020807;
Cc1ccco1,29449,90:09000:0:PV-003877306093;90:09000:0:PV-000529969020;90:09000:0:PV-003877306901;
Cc1c[nH]c(C)c1,2362,90:09000:0:PV-003877306116;90:09000:1:PV-001996528764;90:09000:1:PV-001981769194;
C1CC2(CN1)CNC2,9597,90:09000:0:PV-000276538135;90:09000:0:PV-000276645197;90:09000:0:PV-000276644761;
c1cnc2nccn2c1,2610,90:09000:0:PV-000276538135;90:09000:0:PV-002393536342;90:09000:0:PV-002548779486;
Cc1coc(C)c1,5301,90:09000:0:PV-001564245804;90:09000:0:PV-003877330576;90:09000:0:PV-003877330577;
Fc1ccccc1F,11630,90:09000:0:PV-003031755804;90:09000:0:PV-003031756161;90:09000:0:PV-003877308022;
Cc1cn2ccccc2n1,1696,90:09000:0:PV-003877306270;90:09000:0:PV-003031766972;90:09000:0:PV-001660334033;
Cn1ccc2ccncc21,322,90:09000:0:PV-003877306270;90:09000:3:PV-002445290290;90:09000:6:PV-003877542905;
Cn1nccc1Cl,7201,90:09000:0:PV-003877306344;90:09000:0:PV-003877310464;90:09000:0:PV-003877310465;
Cc1cnccn1,10427,90:09000:0:PV-003877306377;90:09000:0:PV-003877306378;90:09000:0:PV-003877306379;
Fc1ccc(F)cc1,5701,90:09000:0:PV-001544429367;90:09000:0:PV-003877306381;90:09000:0:PV-001742032415;
