fragment_smiles,occurences,example_ligands
Cn1cccc1,13073,92:09200:0:Z3136300314;92:09200:0:Z1593103930;92:09200:0:Z3507817195;
CN1CCCCC1=O,3428,92:09200:0:Z5043564948;92:09200:0:Z2822339522;92:09200:0:Z2227681813;
C1CC2(C1)CC2,5813,92:09200:0:Z5043564948;92:09200:0:Z3617949290;92:09200:0:Z4620942230;
Clc1ccsc1,1686,92:09200:0:Z2067623353;92:09200:1:Z1233398012;92:09200:1:Z3054072628;
Cc1ccc(O)cc1,1024,92:09200:0:Z4287575788;92:09200:4:Z2645978092;92:09200:4:Z4288400456;
NC1CCCC1,1941,92:09200:0:Z3103038491;92:09200:0:Z2776970490;92:09200:0:Z2355274786;
CC12CCNCC1C2(F)F,336,92:09200:0:Z2711571818;92:09200:1:Z2207243703;92:09200:6:Z2200793512;
O=c1cncc[nH]1,852,92:09200:0:Z1583338780;92:09200:0:Z1599608673;92:09200:0:Z3339638172;
Cc1ccc(C)c(C)c1,1343,92:09200:0:Z3694885391;92:09200:0:Z3837685570;92:09200:0:Z1275532377;
c1cnc2ncnn2c1,3826,92:09200:0:Z1554713311;92:09200:0:Z3568398661;92:09200:0:Z643164038;
CC1CCC(O)CC1,1380,92:09200:0:Z4240566882;92:09200:0:Z4612088664;92:09200:0:Z2599917662;
c1cc[nH]c1,27473,92:09200:0:Z3627070339;92:09200:0:Z4143467222;92:09200:0:Z1905830025;
c1nnc2n1CCC2,3031,92:09200:0:Z1536670719;92:09200:0:Z859475206;92:09200:1:Z4232756706;
Cc1nncn1C,3064,92:09200:0:Z1176563152;92:09200:1:Z3816285966;92:09200:1:Z1154522993;
Clc1cccs1,9413,92:09200:0:Z2107691028;92:09200:0:Z2007557235;92:09200:0:Z3940878436;
O=C1CCCC1,2454,92:09200:0:Z4614577928;92:09200:0:Z1616770718;92:09200:0:Z4325441400;
Cc1cc[nH]n1,30426,92:09200:0:Z2273558601;92:09200:0:Z1538682766;92:09200:0:Z1765779089;
Cn1cc2c(n1)CCCC2,3510,92:09200:0:Z4003546161;92:09200:0:Z2016702657;92:09200:0:Z3208220884;
